City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Borogontsy,RU,62.6683,131.1683,60.03,91,99,5.17,overcast clouds
298,Blythe,US,33.6103,-114.5964,104.45,27,20,12.66,few clouds
299,Asau,RO,46.4333,26.4,63.52,90,100,4.36,overcast clouds
300,Quthing,LS,-30.4,27.7003,31.8,83,25,3.4,scattered clouds
301,Ternate,ID,0.8,127.4,80.35,79,100,8.66,light rain
302,Cockburn Town,TC,21.4612,-71.1419,82.44,73,6,13.67,clear sky
303,San Quintin,MX,30.4833,-115.95,72.97,80,3,11.5,clear sky
304,Vardo,NO,70.3705,31.1107,44.58,81,71,8.05,broken clouds
305,Tayu,ID,-6.5397,111.0518,84.2,68,48,6.31,scattered clouds
306,Vostok,RU,46.4856,135.8833,72.37,56,69,2.8,broken clouds
307,Nemuro,JP,43.3236,145.575,68.29,80,85,4.56,overcast clouds
308,Necochea,AR,-38.5473,-58.7368,55.11,97,100,15.88,moderate rain
309,Moron,AR,-34.6534,-58.6198,66.99,83,74,7.4,broken clouds
310,Ust-Ilimsk,RU,58.0006,102.6619,54.54,92,100,9.15,light rain
311,Bayan,CN,46.0833,127.4,74.89,63,69,11.14,broken clouds
312,Tazovskiy,RU,67.4667,78.7,45.0,96,100,15.99,overcast clouds
313,Methala,IN,10.2166,76.2166,73.4,89,100,2.24,overcast clouds
314,Mizan Teferi,ET,6.9833,35.5833,60.82,98,100,1.57,light rain
315,Ponca City,US,36.707,-97.0856,93.16,42,0,9.22,clear sky
316,Bambous Virieux,MU,-20.3428,57.7575,67.21,94,75,13.8,broken clouds
317,Flin Flon,CA,54.7682,-101.865,67.89,57,0,5.23,clear sky
318,Lata,PT,40.1629,-8.3327,56.43,98,17,1.92,few clouds
319,Pontes E Lacerda,BR,-15.2261,-59.3353,74.79,38,69,2.57,broken clouds
320,Zheleznodorozhnyy,RU,55.7503,38.0042,64.92,69,100,4.07,overcast clouds
321,Tiarei,PF,-17.5333,-149.3333,82.42,78,29,13.47,scattered clouds
322,Dingle,PH,10.9995,122.6711,81.1,82,92,8.61,overcast clouds
323,Akhtubinsk,RU,48.2795,46.1722,76.89,34,24,10.98,few clouds
324,Pasni,PK,25.2631,63.471,80.92,91,100,3.02,light rain
325,Amur,RU,54.0,128.0,67.8,66,10,2.39,light rain
326,Smolenka,RU,52.1352,113.4974,64.47,68,7,4.47,clear sky
327,Lichinga,MZ,-13.3128,35.2406,55.49,88,0,4.61,clear sky
328,Pitimbu,BR,-7.4706,-34.8086,72.19,73,6,12.35,clear sky
329,Cape Coast,GH,5.1053,-1.2466,74.32,88,100,14.32,light rain
330,Pogar,RU,52.554,33.2591,65.39,67,100,9.1,overcast clouds
331,Arlit,NE,18.7369,7.3853,96.3,28,100,9.19,overcast clouds
332,Skibbereen,IE,51.55,-9.2667,61.23,92,15,11.16,few clouds
333,Bantry,IE,51.6833,-9.45,59.92,95,30,6.51,scattered clouds
334,Dwarka,IN,22.2394,68.9678,80.67,87,97,17.22,overcast clouds
335,Bundaberg,AU,-24.85,152.35,68.67,43,0,2.01,clear sky
336,Nouadhibou,MR,20.931,-17.0347,73.38,83,3,8.05,clear sky
337,Sioux Lookout,CA,50.1001,-91.917,68.07,94,100,0.0,overcast clouds
338,Agirish,RU,61.9247,63.0231,45.54,73,38,4.52,scattered clouds
339,Adrar,MR,20.5022,-10.0711,87.28,45,7,19.6,clear sky
340,Rocha,UY,-34.4833,-54.3333,59.38,87,4,11.99,clear sky
341,Tezu,IN,27.9167,96.1667,77.07,98,98,1.66,overcast clouds
342,Smithers,CA,54.7804,-127.1743,70.12,56,75,5.75,broken clouds
343,Milkovo,RU,54.7167,158.6167,57.79,94,100,4.05,light rain
344,Lamesa,US,32.7376,-101.951,91.53,28,57,11.25,broken clouds
345,Kardla,EE,58.9978,22.7492,64.06,84,100,7.34,overcast clouds
